x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9
52.69256,469.52985,42.30809,55.892982,0.802389,43.534138,463.39047,62.803436,465.50235,53.10143,476.13412,42.651215,480.18463,62.6758,482.11417,0.7890602
373.06015,469.98813,38.11652,53.893997,0.7877407,361.83774,463.40778,379.92035,464.5592,368.81293,476.30502,362.92227,481.31808,380.13052,482.1784,0.7746484
588.8909,465.61557,40.26659,58.182747,0.8834145,580.04803,459.92014,598.8972,459.51053,590.16473,471.6445,580.66644,477.38297,598.76636,477.0376,0.8687474
52.780926,469.583,41.38701,54.280666,0.85492456,43.64162,463.5702,62.51555,465.3114,52.76855,475.61557,42.46561,480.09567,61.951733,481.79706,0.84073824
52.77888,469.49084,41.70888,54.63587,0.8681127,43.7304,463.3361,62.821236,465.20145,53.004814,475.73584,42.698082,479.73172,62.369034,481.62228,0.85378975
160.29916,475.43765,38.75844,49.426,0.8716398,154.56523,469.4923,171.51984,474.2117,161.11624,483.6348,150.25182,484.28595,165.7172,488.86185,0.8571815
160.29532,475.54724,38.91874,50.07194,0.8736881,154.6976,469.67816,171.79202,474.73184,161.501,483.8065,150.13101,484.129,166.11761,488.97073,0.85922843
265.82617,473.36508,38.20095,53.266705,0.87489,258.00156,465.49213,275.28445,465.85834,266.94672,477.0458,257.27118,482.42117,275.3494,482.9472,0.8604115
265.93674,473.32352,37.989986,52.986523,0.8449887,258.1127,465.58615,275.28696,465.97632,266.75644,477.2971,257.62222,482.52835,275.418,483.0951,0.83103377
373.1786,470.0775,37.526463,54.01424,0.8641713,362.09256,463.52063,379.851,464.2945,368.69818,476.29004,363.15784,481.4261,380.24832,481.9044,0.8498338
373.1812,470.1368,38.446995,53.927372,0.86253536,361.98996,463.4869,380.0894,464.52664,368.66226,476.35812,363.00546,480.9582,380.2985,481.8105,0.8482912
479.05365,477.29776,40.61781,59.091602,0.8643428,469.56244,474.6493,489.1747,474.5885,479.5537,488.61557,470.86395,492.19894,487.40408,492.2554,0.8500007
478.98093,477.2968,40.889072,58.784332,0.8280748,469.7272,474.32648,489.02316,474.1521,479.3572,488.38525,470.9298,492.34174,487.45767,492.151,0.8143634
588.8395,465.48535,40.350105,58.076622,0.881389,580.07367,459.88196,598.683,459.59796,589.8736,471.7335,580.3107,477.3818,598.5378,477.10544,0.86682796
588.7151,465.9868,40.30479,56.969215,0.7609947,580.07245,459.87003,598.9416,459.77817,589.8256,472.05188,580.4992,477.3255,598.743,477.26233,0.7484622
265.9524,473.87186,38.06383,53.099594,0.7541957,257.9905,465.67773,275.112,466.02704,266.84024,477.1007,257.2186,482.63187,275.33994,483.062,0.7418208
478.826,477.657,40.748608,58.563328,0.75833327,469.69604,474.5606,488.87952,474.56546,479.24185,488.44827,470.38437,492.20578,487.19766,492.15198,0.74581283
162.27983,150.52686,38.45897,50.4145,0.70955515,151.23784,146.45581,169.35019,144.05879,160.2846,156.26958,153.92343,162.72943,171.23387,160.4801,0.6982609
57.591904,154.3996,39.680508,52.2585,0.886448,50.432327,148.98761,68.99548,149.03525,60.864643,161.06917,50.47647,165.78745,67.57439,166.03284,0.8722765
57.70363,154.28584,39.124615,51.774433,0.8341412,50.635773,148.88794,68.80784,149.01755,60.64087,161.14438,50.609905,165.61427,67.51467,165.94894,0.8207699
162.01141,150.6847,38.10663,50.07667,0.88635457,151.17096,146.67598,168.87238,143.997,159.96045,156.32533,153.90453,162.65126,170.89911,159.88083,0.8722041
162.21024,150.64622,38.308533,49.74944,0.8830011,151.225,146.46443,169.2387,143.98398,160.43896,156.23732,153.94461,162.38712,171.24762,159.89415,0.8688463
273.65976,150.62726,45.56301,55.08204,0.8972636,263.73413,141.70781,284.30298,140.32037,275.36255,152.82332,265.97562,160.88362,284.60934,159.60837,0.8829314
