Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,Extra
556.487,582.649,18.3323,13.2416,1.51992e-06,550.768,579.174,555.716,578.324,554.008,581.478,553.177,585.152,555.131,584.363,0.982678
562.978,582.775,11.9979,14.4179,1.78814e-06,559.341,580.352,564.237,579.285,562.644,582.464,561.774,585.935,563.896,584.996,0.982655
569.919,582.972,10.511,9.04501,1.40071e-06,566.817,580.132,572.71,578.04,570.653,582.183,569.978,586.594,572.921,584.942,0.982759
581.461,581.513,25.312,30.586,1.49012e-07,575.64,579.426,584.765,576.029,581.008,583.834,579.64,588.176,586.165,585.466,0.982616
587.006,580.238,27.8099,32.5595,2.98023e-07,581.325,577.13,593.358,574.031,588.551,582.717,585.36,589.122,594.01,586.574,0.982557
596.381,579.316,30.2829,36.3014,2.68221e-07,589.951,574.511,603.826,572.955,598.6,582.342,593.589,589.837,603.616,588.465,0.98248
603.107,580.322,30.2813,36.7136,2.68221e-07,597.991,575.09,611.813,573.914,606.851,583.214,600.963,590.589,611.095,589.536,0.982515
612.357,581.055,29.992,37.6235,2.08616e-07,609.972,574.989,622.009,574.66,619.451,583.511,612.37,591.161,621.268,590.848,0.982479
617.419,581.624,28.5743,37.4917,2.08616e-07,616.972,575.239,627.19,575.543,626.048,584.09,618.558,591.432,626.069,591.668,0.982489
627.883,581.546,24.0234,37.8086,4.17233e-07,630.282,575.796,636.421,576.025,636.082,583.264,630.701,590.509,634.777,590.762,0.982536
634.778,581.239,11.631,37.8674,3.8743e-07,636.925,574.581,640.846,574.962,640.542,582.039,637.071,589.042,639.61,589.441,0.982448
3.11461,588.931,7.48239,33.5898,4.76837e-07,3.06479,586.419,5.93177,585.768,6.50823,591.036,2.43985,595.045,4.44676,594.265,0.982367
11.7224,587.56,22.5616,35.0269,6.85453e-07,5.7609,584.898,14.6332,584.258,10.3588,590.752,5.99174,594.592,12.4107,593.999,0.982438
16.3749,588.557,27.5605,33.5691,3.33786e-06,8.41544,584.507,19.8446,583.877,11.7688,591.854,10.0854,597.321,17.967,596.621,0.982599
31.5268,588.354,27.3944,34.2895,2.17557e-06,24.8993,582.938,35.2307,582.383,28.9258,590.029,27.4481,596.336,34.5227,595.729,0.982595
37.093,587.117,27.2054,34.0921,1.42455e-05,30.5357,581.604,41.8917,580.365,36.7024,588.573,33.9658,595.773,41.9458,594.684,0.982483
40.2142,587.442,27.4476,32.7808,3.45707e-06,34.0068,582.473,44.5624,581.801,39.8223,589.432,36.2867,595.782,43.568,595.16,0.982531
54.5085,589.022,15.2546,26.3847,6.58631e-06,52.6959,585.531,59.0229,586.484,56.0585,591.028,53.3441,594.752,57.2052,595.279,0.982438
